"전철역코드","전철역명","호선","외부코드"
"0330","교대","3","340"
"0331","남부터미널","3","341"
"0332","양재","3","342"
"0333","매봉","3","343"
"0334","도곡","3","344"
"0335","대치","3","345"
"0337","대청","3","347"
"0338","일원","3","348"
"0339","수서","3","349"
"0340","가락시장","3","350"
"0341","경찰병원","3","351"
"0342","오금","3","352"
"0409","당고개","4","409"
"0410","상계","4","410"
"0411","노원","4","411"
"0413","쌍문","4","413"
"0414","수유","4","414"
"0415","미아","4","415"
"0416","미아사거리","4","416"
"0417","길음","4","417"
"0419","한성대입구","4","419"
"0420","혜화","4","420"
"0421","동대문","4","421"
"0422","동대문역사문화공원","4","422"
"0423","충무로","4","423"
"0424","명동","4","424"
"0425","회현","4","425"
"0426","서울","4","426"
"0428","삼각지","4","428"
"0429","신용산","4","429"
"0430","이촌","4","430"
"0431","동작","4","431"
"0432","총신대입구(이수)","4","432"
"0434","남태령","4","434"
"1002","남영","1","134"
"1004","노량진","1","136"
"1006","영등포","1","139"
"1007","신도림","1","140"
"1008","이촌","K","K111"
"1009","서빙고","K","K112"
"1010","한남","K","K113"
"1012","응봉","K","K115"
"1013","왕십리","K","K116"
"1016","외대앞","1","122"
"1017","신이문","1","121"
"1018","석계","1","120"
"1020","월계","1","118"
"1021","녹천","1","117"
"0150","서울","1","133"
"0151","시청","1","132"
"0152","종각","1","131"
"0153","종로3가","1","130"
"0154","종로5가","1","129"
"0155","동대문","1","128"
"0156","신설동","1","126"
"0157","제기동","1","125"
"0159","동묘앞","1","127"
"0201","시청","2","201"
"0202","을지로입구","2","202"
"0203","을지로3가","2","203"
"0204","을지로4가","2","204"
"0205","동대문역사문화공원","2","205"
"0207","상왕십리","2","207"
"0209","한양대","2","209"
"0210","뚝섬","2","210"
"0212","건대입구","2","212"
"0213","구의","2","213"
"0214","강변","2","214"
"0215","잠실나루","2","215"
"0217","잠실새내","2","217"
"0219","삼성","2","219"
"0220","선릉","2","220"
"0222","강남","2","222"
"0223","교대","2","223"
"0224","서초","2","224"
"0225","방배","2","225"
"0226","사당","2","226"
"0228","서울대입구","2","228"
"0229","봉천","2","229"
"0230","신림","2","230"
"0231","신대방","2","231"
"0232","구로디지털단지","2","232"
"0234","신도림","2","234"
"0235","문래","2","235"
"0236","영등포구청","2","236"
"0237","당산","2","237"
"0239","홍대입구","2","239"
"0240","신촌","2","240"
"0241","이대","2","241"
"0242","아현","2","242"
"0243","충정로","2","243"
"0245","신답","2","211-2"
"0246","신설동","2","211-4"
"0247","도림천","2","234-1"
"0248","양천구청","2","234-2"
"0249","신정네거리","2","234-3"
"0250","용두","2","211-3"
"0260","까치산","2","234-4"
"0309","지축","3","319"
"0310","구파발","3","320"
"0311","연신내","3","321"
"0312","불광","3","322"
"0313","녹번","3","323"
"0314","홍제","3","324"
"0315","무악재","3","325"
"0316","독립문","3","326"
"0319","종로3가","3","329"
"0320","을지로3가","3","330"
"0321","충무로","3","331"
"0322","동대입구","3","332"
"0324","금호","3","334"
"0325","옥수","3","335"
"0326","압구정","3","336"
"0327","신사","3","337"
"0329","고속터미널","3","339"
"1275","일산","K","K326"
"1276","탄현","K","K327"
"1279","금릉","K","K330"
"1280","금촌","K","K331"
"1283","파주","K","K334"
"1284","문산","K","K335"
"1291","서울","A","A01"
"1293","홍대입구","A","A03"
"1308","광운대","G","P119"
"1309","상봉","G","P120"
"1310","망우","G","P121"
"1312","갈매","G","P123"
"1313","별내","G","P124"
"1315","사릉","G","P126"
"1316","금곡","G","P127"
"1318","천마산","G","P129"
"1319","마석","G","P130"
"1321","청평","G","P132"
"1322","상천","G","P133"
"1324","굴봉산","G","P135"
"1325","백양리","G","P136"
"1328","남춘천","G","P139"
"1402","쌍용(나사렛대)","1","P171"
"1403","아산","1","P172"
"1404","탕정","1","P173"
"1406","풍기","1","P175"
"1407","온양온천","1","P176"
"1408","신창","1","P177"
"1951","원당","3","317"
"1954","백석","3","314"
"1955","마두","3","313"
"1957","주엽","3","311"
"1958","대화","3","310"
"2511","방화","5","510"
"2512","개화산","5","511"
"2513","김포공항","5","512"
"2515","마곡","5","514"
"2516","발산","5","515"
"2517","우장산","5","516"
"2518","화곡","5","517"
"2520","신정","5","519"
"2521","목동","5","520"
"2522","오목교","5","521"
"2524","영등포구청","5","523"
"2526","신길","5","525"
"2528","여의나루","5","527"
"2529","마포","5","528"
"2530","공덕","5","529"
"2531","애오개","5","530"
"2533","서대문","5","532"
"2534","광화문","5","533"
"2535","종로3가","5","534"
"2536","을지로4가","5","535"
"2621","마포구청","6","620"
"2622","망원","6","621"
"2623","합정","6","622"
"2624","상수","6","623"
"2626","대흥","6","625"
"2627","공덕","6","626"
"2628","효창공원앞","6","627"
"2629","삼각지","6","628"
"2631","이태원","6","630"
"2632","한강진","6","631"
"2633","버티고개","6","632"
"2634","약수","6","633"
"2636","신당","6","635"
"2637","동묘앞","6","636"
"2638","창신","6","637"
"2639","보문","6","638"
"2641","고려대","6","640"
"2643","상월곡","6","642"
"2645","석계","6","644"
"2646","태릉입구","6","645"
"2647","화랑대","6","646"
"2711","장암","7","709"
"2712","도봉산","7","710"
"2713","수락산","7","711"
"2714","마들","7","712"
"2538","청구","5","537"
"2539","신금호","5","538"
"2540","행당","5","539"
"2541","왕십리","5","540"
"2542","마장","5","541"
"2544","장한평","5","543"
"2545","군자","5","544"
"2546","아차산","5","545"
"2548","천호","5","547"
"2549","강동","5","548"
"2550","길동","5","549"
"2552","명일","5","551"
